word,creole_word,creole_name,latlon,acrolect
"a, an",youn,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
aback,pa sipriz (taken by surprise),Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abandon,"abandone, kite",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abase,"abese (to lower in rank-office-prestige), ~diminye (to lower physical)",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abash,demoralize (to destroy the self-confidence of),Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abbreviate,abreje,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abdicate,abdike,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abduct,"kidnape, anlve",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abet,"ensite (incite, urge on, instigate), eksite (excite)",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abhor,"deteste (loathe, to regard with extreme   repugnance), rayi (hate)",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abide,respekte (respect),Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
ability,"abilite, aptitud",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abject,"abjèk, degoutan",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
able,kapab,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abolish,aboli,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abound,"gen anpil, abonde",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
about,"apropo, a",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
above,"anlè, soutèt",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abrade (to srcape),"graje, fwote (to rub), kòche",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abreast,okouran,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abroad,lòtbò,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
abrupt,"avrip, brid sou kou, bripbrip",Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
absence,absans,Haitian Creole,"[-72.33179106730078, 18.946199616160314]",French
