word,creole_word,creole_name
Na all those people way be like say their eye and iron, iron damage,Nigeria
"Is a wrong answer reply to some one who ask you ""Nieria question"". The word derive from a group o...",  answer,Nigeria
Is a kind of question that some one ask you when they see you doing a particular work or somethin...,  question,Nigeria
Fake or counterfeit products, aba made,Nigeria
Please (a polite addition to a request or command), abeg,Nigeria
Leavego away., abeg fly,Nigeria
Pleaseleave me alone!, abeg limi,Nigeria
Street boys characterized by waywardness , abero,Nigeria
is it true? (checking conformity with factreasontruth or some standard or principle), abi,Nigeria
What is it? (Usually used while irritated), abi na wetin,Nigeria
Abbreviation for Abuja the capital city of nigeria, abj,Nigeria
"Is a Slang for the city of ""Abeokuta""... In Ogun State Nigeria", abk,Nigeria
Been foolish or in the dark about things, aboki,Nigeria
1. A term used to show respect amongst men, abro,Nigeria
Slang for Abuja, abs,Nigeria
Amadu Bello Univeristy, abu,Nigeria
pussy , abuna,Nigeria
1. An intellectual or talks in an intelligent way.  2. A university student  3. a bookworm, acada,Nigeria
See Akata: word for African American, acata,Nigeria
A Nigerian who resides abroad but comes back to visit from time to time (mostly during Christmas ..., acatay,Nigeria
Motorcycle for public transportusually spoken in northern Nigeria. see: machine, achaba,Nigeria
One exercising of power in the absence of the boss, acting big man,Nigeria
In a movie or playthe most important character., actor,Nigeria
The actor is the main good guy in a movie 'the hero' and the boss is the main adversary to the go..., actor and boss,Nigeria
Asylummoney paid to Asylum seekers, adro,Nigeria
A way of saying how are youor hello, afa,Nigeria
afar means how are you?, afar,Nigeria
Afteror later, afta,Nigeria
A Masquerade., agaba,Nigeria
Having bow legs, agada,Nigeria
A woman of easy virtue, agaracha,Nigeria
1. Large traditional garment usually worn by men over a shirt., agbada,Nigeria
A bad elderly person, agbaya,Nigeria
Labourer who carries heavy goods for a fee. , agbero,Nigeria
a popular low class bread baked in lagos. common among laborers, agege bread,Nigeria
Woman of easy virtue, agharacha,Nigeria
Locally prepared mashed rice cake, agidi,Nigeria
Feeling Horny, agro,Nigeria
my goodness!, ah-ahn!,Nigeria
"A shortened form of walahiused to affirm a statementin place of ""as in"" or ""right?""", ahlie,Nigeria
This means airconditioner, aircon,Nigeria
Flying Witch, airforce 1,Nigeria
An overachiever or someone that works excessively to impress the authority, ajayi,Nigeria
Someone who is was born with a silver spoon in their mouth or who is spoilt and has not experienc..., ajebo,Nigeria
someone who was brought up in the harsh way of lifealso a local champion., ajepaco,Nigeria
The opposite of ajebota. see ajebota, ajepako,Nigeria
A slang for serving members of the Nigerian Youth Service Corps. It is derived from the pidgin ve..., ajuwaya,Nigeria
The PolicePoliceman, ak,Nigeria
Pap made from corn, akamu,Nigeria
Stingy person., akanchan,Nigeria
Wisdom or discretion., akanuche,Nigeria
Fried cake made out of mashed black eyed peas., akara,Nigeria
1. Akata is a word used to describe Black/African Americans. 2. Akata can also be used to describ..., akata,Nigeria
A system of daily savings operated by an individual for small business owners., akawo,Nigeria
posture with legs or arms outward/apart or with hands resting on hips, akimbo,Nigeria
This refer to money., akpalakpala,Nigeria
Fool, akpamo,Nigeria
Something Strong or Solid, akpruka,Nigeria
flour made out cassava and further processed into a mash potato like meal. Mostly eaten by the igbos, akpu,Nigeria
The Great One, akwa,Nigeria
This is a poser, alan pozzer,Nigeria
a style of dance that involves raising your legs and moving your arms up and down, alanta,Nigeria
hunger, alarm,Nigeria
lagos way of saying area boy. See area boys, alaye,Nigeria
The text message you receive when a deposit has been made to your bank account, alert,Nigeria
Regardless of  your choice the outcome is the same, all join,Nigeria
night vigil, all night,Nigeria
A sum granted for any purposelike a reimbursement., allawee,Nigeria
"Another way of saying ""Partner in crime"". used to refer to someone as a very close friend.", alobam,Nigeria
Replaces him or her in a sentence, am,Nigeria
1. Gossip  2. Name of a character in a Nigerian soap opera (The village headmaster)with a pench..., amebo,Nigeria
A talkativeGossip or the act of pokenosing into affairs of others., amiboh,Nigeria
one who does work effectively but without charisma and loses all gratitude as the consequence, amodu,Nigeria
people wearing the same costumes. It maybe twinsgroup of people or couples, and co,Nigeria
Nickname for Andrew , andypipi ,Nigeria
woman with easy virtue, animashaun,Nigeria
Sexual activity involved in by a male and a female. Its actually the latest pidgin word for FUCK(..., ankle,Nigeria
Another, anoda,Nigeria
Answer, ansa,Nigeria
