word,creole_word,creole_name
zealous,zélé,St. Lucia
"young,opp","jenn,piti,gwan,vyé,vyé",St. Lucia
young hen,poulèt,St. Lucia
"young girl, young lady,daughter","tifi,fi,kabwès,kabwès",St. Lucia
young girl,"kabwès,tifi,tifi",St. Lucia
"you, your (pl)","zòt,hò,hòt,zò",St. Lucia
"yet still, nevertheless, however","wannman,wonnman",St. Lucia
yes,ti,St. Lucia
yellow,"jòn,jòn zé",St. Lucia
"yeast, leavening","lèlven,yis",St. Lucia
year,"lanné,nanné,Bon Lanné,Labonnlanné,Labonnlanné",St. Lucia
yard,lakou,St. Lucia
yacht,chaloup,St. Lucia
Y/N question marker,"ès,ensi,ès ki,ès si,èskè,ès ki,ès,ès si,ès",St. Lucia
"x-ray,to x-ray, to take an x-ray",èkstré,St. Lucia
"wrong, hurt, harm","ditò,pasdwa,fè ditò",St. Lucia
"writings,handwriting",ékwiti,St. Lucia
"writer, author",ékwiven,St. Lucia
wrist,ponyèt,St. Lucia
wrinkled,"plisé,gwiji,gwiji",St. Lucia
worthless (said of a person),anyenditou,St. Lucia
worm,"vè,vè tè",St. Lucia
worker,twavayè,St. Lucia
work bench,létabli,St. Lucia
"wool,blanket",lenn,St. Lucia
wooden shingle,zésant,St. Lucia
wooden partition in a house,"kwazon,klazon",St. Lucia
wooden bar used for securing a door or window,bawo,St. Lucia
"wood ant, termite",poulbwa,St. Lucia
wood,"bwa,gwan bwa,bwa bwa,fè pwan an bwa,chaché,fè fann kann,fè kwazé bwa,fè pwan lavòl,kouwi dèyè,gwan bwa,bwa,lafowé,pwan an bwa,fann kann,fè djip,fè lapousyè,fè lapousyè,fè zéklè,kwazé bwa,kwazé wazyé,pwan lavòl",St. Lucia
womb,"matwis,zantway",St. Lucia
womanizer,pakouwè,St. Lucia
"woman,womanish; when a young girl rudely tries to act older than she really is",fanm,St. Lucia
woman who stands in for the mother at a baby's christening,da,St. Lucia
witness,témwen,St. Lucia
"without,opp","san,épi,épi,èvèk",St. Lucia
